step,K,U,E
111,0.0038564134,-0.4760760297,-0.4722196163
112,0.0039263716,-0.4761459879,-0.4722196163
113,0.0039969801,-0.4762165963,-0.4722196162
114,0.0040682396,-0.4762878558,-0.4722196162
115,0.0041401510,-0.4763597671,-0.4722196161
116,0.0042127149,-0.4764323310,-0.4722196161
117,0.0042859322,-0.4765055482,-0.4722196160
118,0.0043598037,-0.4765794197,-0.4722196160
119,0.0044343303,-0.4766539462,-0.4722196159
120,0.0045095126,-0.4767291285,-0.4722196159
121,0.0045853516,-0.4768049674,-0.4722196158
122,0.0046618480,-0.4768814638,-0.4722196158
123,0.0047390028,-0.4769586186,-0.4722196157
124,0.0048168168,-0.4770364325,-0.4722196157
125,0.0048952908,-0.4771149064,-0.4722196156
126,0.0049744257,-0.4771940412,-0.4722196156
127,0.0050542223,-0.4772738378,-0.4722196155
128,0.0051346816,-0.4773542970,-0.4722196154
129,0.0052158044,-0.4774354198,-0.4722196154
130,0.0052975917,-0.4775172070,-0.4722196153
131,0.0053800442,-0.4775996595,-0.4722196153
132,0.0054631631,-0.4776827783,-0.4722196152
133,0.0055469490,-0.4777665642,-0.4722196152
134,0.0056314031,-0.4778510182,-0.4722196151
135,0.0057165262,-0.4779361413,-0.4722196150
136,0.0058023193,-0.4780219343,-0.4722196150
137,0.0058887833,-0.4781083982,-0.4722196149
138,0.0059759192,-0.4781955340,-0.4722196149
139,0.0060637279,-0.4782833427,-0.4722196148
140,0.0061522105,-0.4783718252,-0.4722196147
141,0.0062413679,-0.4784609826,-0.4722196147
142,0.0063312011,-0.4785508157,-0.4722196146
143,0.0064217111,-0.4786413257,-0.4722196146
144,0.0065128989,-0.4787325134,-0.4722196145
145,0.0066047656,-0.4788243800,-0.4722196144
146,0.0066973121,-0.4789169265,-0.4722196144
147,0.0067905396,-0.4790101539,-0.4722196143
148,0.0068844490,-0.4791040632,-0.4722196142
149,0.0069790414,-0.4791986555,-0.4722196142
150,0.0070743178,-0.4792939319,-0.4722196141
151,0.0071702794,-0.4793898934,-0.4722196140
152,0.0072669271,-0.4794865411,-0.4722196140
153,0.0073642622,-0.4795838761,-0.4722196139
154,0.0074622857,-0.4796818995,-0.4722196138
155,0.0075609986,-0.4797806123,-0.4722196137
156,0.0076604021,-0.4798800158,-0.4722196137
157,0.0077604974,-0.4799801110,-0.4722196136
158,0.0078612855,-0.4800808991,-0.4722196135
159,0.0079627676,-0.4801823811,-0.4722196135
160,0.0080649449,-0.4802845583,-0.4722196134
161,0.0081678184,-0.4803874318,-0.4722196133
162,0.0082713894,-0.4804910027,-0.4722196132
163,0.0083756591,-0.4805952722,-0.4722196132
164,0.0084806285,-0.4807002416,-0.4722196131
165,0.0085862990,-0.4808059120,-0.4722196130
166,0.0086926717,-0.4809122846,-0.4722196129
167,0.0087997478,-0.4810193606,-0.4722196129
168,0.0089075285,-0.4811271413,-0.4722196128
169,0.0090160151,-0.4812356278,-0.4722196127
170,0.0091252088,-0.4813448214,-0.4722196126
171,0.0092351109,-0.4814547234,-0.4722196126
172,0.0093457225,-0.4815653350,-0.4722196125
173,0.0094570451,-0.4816766574,-0.4722196124
174,0.0095690797,-0.4817886920,-0.4722196123
175,0.0096818278,-0.4819014401,-0.4722196122
176,0.0097952907,-0.4820149028,-0.4722196121
177,0.0099094695,-0.4821290816,-0.4722196121
178,0.0100243657,-0.4822439777,-0.4722196120
179,0.0101399806,-0.4823595925,-0.4722196119
180,0.0102563154,-0.4824759273,-0.4722196118
181,0.0103733716,-0.4825929834,-0.4722196117
182,0.0104911505,-0.4827107621,-0.4722196116
183,0.0106096534,-0.4828292650,-0.4722196116
184,0.0107288817,-0.4829484932,-0.4722196115
185,0.0108488368,-0.4830684482,-0.4722196114
186,0.0109695201,-0.4831891314,-0.4722196113
187,0.0110909330,-0.4833105442,-0.4722196112
188,0.0112130768,-0.4834326879,-0.4722196111
189,0.0113359531,-0.4835555641,-0.4722196110
190,0.0114595632,-0.4836791741,-0.4722196109
191,0.0115839086,-0.4838035194,-0.4722196108
192,0.0117089907,-0.4839286014,-0.4722196107
193,0.0118348109,-0.4840544216,-0.4722196107
194,0.0119613709,-0.4841809814,-0.4722196106
195,0.0120886719,-0.4843082824,-0.4722196105
196,0.0122167156,-0.4844363260,-0.4722196104
197,0.0123455034,-0.4845651137,-0.4722196103
198,0.0124750369,-0.4846946470,-0.4722196102
199,0.0126053174,-0.4848249275,-0.4722196101
200,0.0127363467,-0.4849559567,-0.4722196100
201,0.0128681262,-0.4850877361,-0.4722196099
202,0.0130006575,-0.4852202672,-0.4722196098
203,0.0131339421,-0.4853535518,-0.4722196097
204,0.0132679816,-0.4854875912,-0.4722196096
205,0.0134027776,-0.4856223871,-0.4722196095
206,0.0135383317,-0.4857579411,-0.4722196094
207,0.0136746455,-0.4858942547,-0.4722196093
208,0.0138117206,-0.4860313297,-0.4722196092
209,0.0139495586,-0.4861691677,-0.4722196091
210,0.0140881612,-0.4863077702,-0.4722196090
211,0.0142275300,-0.4864471389,-0.4722196089
212,0.0143676667,-0.4865872755,-0.4722196088
213,0.0145085730,-0.4867281816,-0.4722196087
214,0.0146502505,-0.4868698590,-0.4722196086
215,0.0147927009,-0.4870123093,-0.4722196084
216,0.0149359259,-0.4871555343,-0.4722196083
217,0.0150799273,-0.4872995356,-0.4722196082
218,0.0152247068,-0.4874443149,-0.4722196081
219,0.0153702661,-0.4875898741,-0.4722196080
220,0.0155166069,-0.4877362148,-0.4722196079
221,0.0156637311,-0.4878833389,-0.4722196078
222,0.0158116403,-0.4880312480,-0.4722196077
223,0.0159603365,-0.4881799440,-0.4722196076
224,0.0161098213,-0.4883294287,-0.4722196074
225,0.0162600965,-0.4884797039,-0.4722196073
226,0.0164111641,-0.4886307713,-0.4722196072
227,0.0165630258,-0.4887826329,-0.4722196071
228,0.0167156835,-0.4889352905,-0.4722196070
229,0.0168691390,-0.4890887459,-0.4722196069
230,0.0170233942,-0.4892430009,-0.4722196067
231,0.0171784510,-0.4893980576,-0.4722196066
232,0.0173343112,-0.4895539177,-0.4722196065
233,0.0174909768,-0.4897105832,-0.4722196064
234,0.0176484497,-0.4898680560,-0.4722196063
235,0.0178067318,-0.4900263379,-0.4722196061
236,0.0179658251,-0.4901854311,-0.4722196060
237,0.0181257314,-0.4903453373,-0.4722196059
238,0.0182864528,-0.4905060586,-0.4722196058
239,0.0184479913,-0.4906675969,-0.4722196056
240,0.0186103488,-0.4908299543,-0.4722196055
241,0.0187735273,-0.4909931327,-0.4722196054
242,0.0189375289,-0.4911571341,-0.4722196053
243,0.0191023556,-0.4913219607,-0.4722196051
244,0.0192680093,-0.4914876143,-0.4722196050
245,0.0194344923,-0.4916540972,-0.4722196049
246,0.0196018065,-0.4918214112,-0.4722196047
247,0.0197699540,-0.4919895586,-0.4722196046
248,0.0199389370,-0.4921585414,-0.4722196045
249,0.0201087575,-0.4923283618,-0.4722196043
250,0.0202794176,-0.4924990218,-0.4722196042
251,0.0204509195,-0.4926705235,-0.4722196041
252,0.0206232653,-0.4928428692,-0.4722196039
253,0.0207964572,-0.4930160609,-0.4722196038
254,0.0209704973,-0.4931901010,-0.4722196036
255,0.0211453879,-0.4933649914,-0.4722196035
256,0.0213211311,-0.4935407345,-0.4722196034
257,0.0214977292,-0.4937173325,-0.4722196032
258,0.0216751844,-0.4938947875,-0.4722196031
259,0.0218534990,-0.4940731019,-0.4722196029
260,0.0220326751,-0.4942522779,-0.4722196028
261,0.0222127150,-0.4944323177,-0.4722196026
262,0.0223936211,-0.4946132236,-0.4722196025
263,0.0225753957,-0.4947949980,-0.4722196023
264,0.0227580410,-0.4949776432,-0.4722196022
265,0.0229415594,-0.4951611615,-0.4722196021
266,0.0231259532,-0.4953455551,-0.4722196019
267,0.0233112248,-0.4955308266,-0.4722196018
268,0.0234973766,-0.4957169782,-0.4722196016
269,0.0236844109,-0.4959040123,-0.4722196014
270,0.0238723301,-0.4960919314,-0.4722196013
271,0.0240611367,-0.4962807379,-0.4722196011
272,0.0242508331,-0.4964704341,-0.4722196010
273,0.0244414217,-0.4966610226,-0.4722196008
274,0.0246329050,-0.4968525057,-0.4722196007
275,0.0248252855,-0.4970448860,-0.4722196005
276,0.0250185657,-0.4972381660,-0.4722196003
277,0.0252127480,-0.4974323482,-0.4722196002
278,0.0254078350,-0.4976274351,-0.4722196000
279,0.0256038293,-0.4978234291,-0.4722195999
280,0.0258007333,-0.4980203330,-0.4722195997
281,0.0259985497,-0.4982181492,-0.4722195995
282,0.0261972810,-0.4984168804,-0.4722195994
283,0.0263969299,-0.4986165291,-0.4722195992
284,0.0265974989,-0.4988170980,-0.4722195990
285,0.0267989907,-0.4990185896,-0.4722195989
286,0.0270014080,-0.4992210067,-0.4722195987
287,0.0272047534,-0.4994243519,-0.4722195985
288,0.0274090295,-0.4996286279,-0.4722195984
289,0.0276142392,-0.4998338373,-0.4722195982
290,0.0278203850,-0.5000399830,-0.4722195980
291,0.0280274698,-0.5002470676,-0.4722195978
292,0.0282354962,-0.5004550939,-0.4722195977
293,0.0284444672,-0.5006640646,-0.4722195975
294,0.0286543853,-0.5008739826,-0.4722195973
295,0.0288652535,-0.5010848506,-0.4722195971
296,0.0290770745,-0.5012966714,-0.4722195969
297,0.0292898512,-0.5015094479,-0.4722195968
298,0.0295035864,-0.5017231830,-0.4722195966
299,0.0297182830,-0.5019378794,-0.4722195964
300,0.0299339440,-0.5021535402,-0.4722195962
301,0.0301505721,-0.5023701681,-0.4722195960
302,0.0303681703,-0.5025877661,-0.4722195958
303,0.0305867416,-0.5028063372,-0.4722195956
304,0.0308062889,-0.5030258843,-0.4722195954
305,0.0310268152,-0.5032464104,-0.4722195953
306,0.0312483234,-0.5034679185,-0.4722195951
307,0.0314708167,-0.5036904115,-0.4722195949
308,0.0316942979,-0.5039138926,-0.4722195947
309,0.0319187703,-0.5041383648,-0.4722195945
310,0.0321442368,-0.5043638311,-0.4722195943
311,0.0323707005,-0.5045902946,-0.4722195941
312,0.0325981645,-0.5048177584,-0.4722195939
313,0.0328266320,-0.5050462257,-0.4722195937
314,0.0330561062,-0.5052756996,-0.4722195935
315,0.0332865900,-0.5055061833,-0.4722195933
316,0.0335180869,-0.5057376799,-0.4722195931
317,0.0337505998,-0.5059701927,-0.4722195929
318,0.0339841322,-0.5062037248,-0.4722195927
319,0.0342186871,-0.5064382796,-0.4722195924
320,0.0344542680,-0.5066738602,-0.4722195922
321,0.0346908779,-0.5069104700,-0.4722195920
322,0.0349285204,-0.5071481122,-0.4722195918
323,0.0351671986,-0.5073867902,-0.4722195916
324,0.0354069159,-0.5076265073,-0.4722195914
325,0.0356476757,-0.5078672669,-0.4722195912
326,0.0358894814,-0.5081090723,-0.4722195909
327,0.0361323363,-0.5083519270,-0.4722195907
328,0.0363762439,-0.5085958344,-0.4722195905
