step,K,U,E
377,9.7533398074,-10.7165134268,-0.9631736194
378,9.7754783857,-10.7388712021,-0.9633928165
379,9.7978539795,-10.7609679687,-0.9631139892
380,9.8204629578,-10.7838680675,-0.9634051098
381,9.8432971377,-10.8067235996,-0.9634264619
382,9.8663498255,-10.8298323948,-0.9634825693
383,9.8896153897,-10.8530652916,-0.9634499020
384,9.9130886502,-10.8760463324,-0.9629576822
385,9.9367635628,-10.9002524974,-0.9634889346
386,9.9606322855,-10.9238124018,-0.9631801163
387,9.9846862392,-10.9479292461,-0.9632430069
388,10.0089209851,-10.9724038232,-0.9634828380
389,10.0333308744,-10.9968222566,-0.9634913823
390,10.0579064400,-11.0210592381,-0.9631527981
391,10.0826447472,-11.0456650404,-0.9630202933
392,10.1075349943,-11.0708451853,-0.9633101910
393,10.1325689793,-11.0960246271,-0.9634556478
394,10.1577426964,-11.1210838499,-0.9633411536
395,10.1830439500,-11.1463710591,-0.9633271090
396,10.2084710956,-11.1716844708,-0.9632133752
397,10.2340205817,-11.1970608024,-0.9630402208
398,10.2596779711,-11.2230874541,-0.9634094830
399,10.2854362132,-11.2486100321,-0.9631738189
400,10.3112906352,-11.2743585343,-0.9630678990
401,10.3372348102,-11.3004038264,-0.9631690162
402,10.3632603493,-11.3268658318,-0.9636054825
403,10.3893606711,-11.3526406089,-0.9632799378
404,10.4155286499,-11.3786430159,-0.9631143660
405,10.4417578831,-11.4048671064,-0.9631092233
406,10.4680427985,-11.4312645000,-0.9632217015
407,10.4943763695,-11.4578691352,-0.9634927657
408,10.5207514963,-11.4841356564,-0.9633841601
409,10.5471614121,-11.5102574661,-0.9630960540
410,10.5735999566,-11.5368080783,-0.9632081218
411,10.6000595157,-11.5630864522,-0.9630269365
412,10.6265343616,-11.5897842741,-0.9632499125
413,10.6530175003,-11.6161899895,-0.9631724892
414,10.6795029841,-11.6428756343,-0.9633726502
415,10.7059872896,-11.6691199255,-0.9631326359
416,10.7324638732,-11.6956994552,-0.9632355820
417,10.7589257085,-11.7228211775,-0.9638954690
418,10.7853665322,-11.7487216310,-0.9633550988
419,10.8117804510,-11.7750388714,-0.9632584203
420,10.8381628697,-11.8017028828,-0.9635400131
421,10.8645099132,-11.8275646182,-0.9630547050
422,10.8908131968,-11.8543475378,-0.9635343410
423,10.9170658103,-11.8801825394,-0.9631167291
424,10.9432645312,-11.9063330986,-0.9630685674
425,10.9694048246,-11.9329160200,-0.9635111954
426,10.9954795724,-11.9587757411,-0.9632961687
427,11.0214824626,-11.9847852564,-0.9633027938
428,11.0474112218,-12.0109318204,-0.9635205986
429,11.0732606968,-12.0365193821,-0.9632586853
430,11.0990231922,-12.0622250562,-0.9632018640
431,11.1246933226,-12.0882623150,-0.9635689925
432,11.1502659469,-12.1135802256,-0.9633142787
433,11.1757360402,-12.1391441583,-0.9634081181
434,11.2010998179,-12.1644667518,-0.9633669339
435,11.2263516390,-12.1900032419,-0.9636516029
436,11.2514836913,-12.2151916375,-0.9637079461
437,11.2764914059,-12.2401929422,-0.9637015362
438,11.3013710007,-12.2650039770,-0.9636329763
439,11.3261170072,-12.2895326340,-0.9634156268
440,11.3507230096,-12.3139324222,-0.9632094126
441,11.3751823963,-12.3384333538,-0.9632509576
442,11.3994914047,-12.3627240809,-0.9632326762
443,11.4236434480,-12.3868906679,-0.9632472199
444,11.4476312602,-12.4108290633,-0.9631978031
445,11.4714511877,-12.4349630064,-0.9635118187
446,11.4950994317,-12.4585669737,-0.9634675420
447,11.5185666351,-12.4819403463,-0.9633737112
448,11.5418453175,-12.5051019210,-0.9632566035
449,11.5649297153,-12.5282129094,-0.9632831941
450,11.5878137291,-12.5511775270,-0.9633637979
451,11.6104894071,-12.5737989674,-0.9633095603
452,11.6329516502,-12.5962570745,-0.9633054243
453,11.6551969413,-12.6185914388,-0.9633944975
454,11.6772155481,-12.6404734327,-0.9632578846
455,11.6989970500,-12.6621674077,-0.9631703577
456,11.7205350663,-12.6838498924,-0.9633148261
457,11.7418244679,-12.7051530907,-0.9633286228
458,11.7628568131,-12.7264836979,-0.9636268847
459,11.7836282864,-12.7468047596,-0.9631764732
460,11.8041298823,-12.7673542066,-0.9632243243
461,11.8243455931,-12.7875524497,-0.9632068566
462,11.8442684040,-12.8077599221,-0.9634915181
463,11.8638946450,-12.8271030006,-0.9632083556
464,11.8832156001,-12.8467443770,-0.9635287770
465,11.9022222052,-12.8657714033,-0.9635491981
466,11.9209058070,-12.8843339150,-0.9634281081
467,11.9392577280,-12.9027959619,-0.9635382339
468,11.9572681113,-12.9207512772,-0.9634831659
469,11.9749300542,-12.9385086945,-0.9635786403
470,11.9922363753,-12.9559074201,-0.9636710448
471,12.0091735662,-12.9725526107,-0.9633790445
472,12.0257315456,-12.9891553533,-0.9634238077
473,12.0419050506,-13.0052279092,-0.9633228586
474,12.0576848226,-13.0211384563,-0.9634536337
475,12.0730602769,-13.0361963461,-0.9631360692
476,12.0880164550,-13.0513594402,-0.9633429852
477,12.1025441063,-13.0658510010,-0.9633068947
478,12.1166409951,-13.0800366816,-0.9633956865
479,12.1302986754,-13.0935535925,-0.9632549171
480,12.1435059384,-13.1069950708,-0.9634891325
481,12.1562524437,-13.1196592536,-0.9634068098
482,12.1685225911,-13.1318507499,-0.9633281588
483,12.1803054697,-13.1433241061,-0.9630186364
484,12.1916028073,-13.1553458894,-0.9637430821
485,12.2024025876,-13.1654052322,-0.9630026445
486,12.2126958614,-13.1760930438,-0.9633971824
487,12.2224732257,-13.1859500589,-0.9634768332
488,12.2317222096,-13.1954595615,-0.9637373518
489,12.2404383546,-13.2036964648,-0.9632581102
490,12.2486143098,-13.2120425660,-0.9634282562
491,12.2562417693,-13.2195976340,-0.9633558646
492,12.2633084365,-13.2265590024,-0.9632505660
493,12.2698120220,-13.2330091510,-0.9631971290
494,12.2757513728,-13.2392949603,-0.9635435874
495,12.2811176705,-13.2448064270,-0.9636887565
496,12.2859000938,-13.2489908714,-0.9630907776
497,12.2900968997,-13.2535014202,-0.9634045206
498,12.2937049350,-13.2570022834,-0.9632973484
499,12.2967166644,-13.2600607332,-0.9633440688
500,12.2991321841,-13.2622938380,-0.9631616539
501,12.3009494828,-13.2646578972,-0.9637084144
502,12.3021624940,-13.2653661087,-0.9632036148
503,12.3027703343,-13.2659164025,-0.9631460682
504,12.3027716690,-13.2663155383,-0.9635438693
505,12.3021673755,-13.2658252253,-0.9636578498
506,12.3009565420,-13.2638332159,-0.9628766739
507,12.2991484425,-13.2628353361,-0.9636868937
508,12.2967526477,-13.2602083259,-0.9634556781
509,12.2937550846,-13.2572406902,-0.9634856057
510,12.2901678709,-13.2538380380,-0.9636701671
511,12.2859973919,-13.2493713711,-0.9633739792
512,12.2812427880,-13.2444843018,-0.9632415138
513,12.2759133911,-13.2392218749,-0.9633084838
514,12.2700159430,-13.2336424865,-0.9636265435
515,12.2635555413,-13.2259623150,-0.9624067737
516,12.2565449363,-13.2199033720,-0.9633584357
517,12.2490039676,-13.2122682528,-0.9632642852
518,12.2409432825,-13.2048559069,-0.9639126244
519,12.2323712446,-13.1957951856,-0.9634239410
520,12.2232960758,-13.1864192084,-0.9631231326
521,12.2137353361,-13.1772907463,-0.9635554102
522,12.2037035803,-13.1667577462,-0.9630541658
523,12.1932218568,-13.1567572910,-0.9635354342
524,12.1823061315,-13.1458031111,-0.9634969796
525,12.1709704801,-13.1343407788,-0.9633702987
526,12.1592375455,-13.1225106007,-0.9632730552
527,12.1471151658,-13.1099123049,-0.9627971392
528,12.1346275363,-13.0978932125,-0.9632656762
529,12.1218026969,-13.0846667380,-0.9628640411
530,12.1086602064,-13.0722372169,-0.9635770105
531,12.0952342090,-13.0587472586,-0.9635130496
532,12.0815362209,-13.0442507095,-0.9627144886
533,12.0675902636,-13.0314507542,-0.9638604906
534,12.0534156690,-13.0166870546,-0.9632713856
535,12.0390290705,-13.0025004144,-0.9634713439
536,12.0244691494,-12.9876573195,-0.9631881700
537,12.0097516691,-12.9724271647,-0.9626754956
538,11.9949004235,-12.9575182445,-0.9626178209
539,11.9799498452,-12.9440771968,-0.9641273516
540,11.9649170509,-12.9273347600,-0.9624177092
541,11.9498340446,-12.9138958862,-0.9640618416
542,11.9347349226,-12.8977765858,-0.9630416632
543,11.9196334775,-12.8825596917,-0.9629262142
544,11.9045545849,-12.8671301770,-0.9625755921
545,11.8895310943,-12.8526160564,-0.9630849622
546,11.8745949709,-12.8387496130,-0.9641546422
547,11.8597578967,-12.8225454258,-0.9627875292
548,11.8450609140,-12.8097374998,-0.9646765858
549,11.8305306005,-12.7945921164,-0.9640615160
550,11.8161616075,-12.7796203886,-0.9634587811
551,11.8019968223,-12.7656237422,-0.9636269200
552,11.7880750503,-12.7514496707,-0.9633746205
553,11.7744072181,-12.7371243174,-0.9627170993
554,11.7610069503,-12.7237055951,-0.9626986448
555,11.7479143907,-12.7112154734,-0.9633010827
556,11.7351560570,-12.6993277865,-0.9641717295
557,11.7227431631,-12.6870652390,-0.9643220759
558,11.7107004897,-12.6736660962,-0.9629656065
