step,K,U,E
0,0.5342751835,-1.5196380217,-0.9853628383
1,1.9043148386,-2.9240282424,-1.0197134038
2,3.6014730777,-4.6475040993,-1.0460310216
3,5.1799750673,-6.2349510204,-1.0549759531
4,6.4200661180,-7.4717402523,-1.0516741342
5,7.2910808491,-8.3347884913,-1.0437076422
6,7.8542247933,-8.8898896165,-1.0356648231
7,8.1924246867,-9.2216718755,-1.0292471888
8,8.3786326901,-9.4032871792,-1.0246544891
9,8.4674885864,-9.4890451246,-1.0215565382
10,8.4967247351,-9.5162649360,-1.0195402009
11,8.4911969174,-9.5094568375,-1.0182599201
12,8.4667713008,-9.4842352383,-1.0174639375
13,8.4333208891,-9.4503011145,-1.0169802254
14,8.3968303246,-9.4135253878,-1.0166950633
15,8.3608074152,-9.3773420315,-1.0165346162
16,8.3272062520,-9.3436576970,-1.0164514450
17,8.2970220804,-9.3134373674,-1.0164152870
18,8.2706708310,-9.2870777949,-1.0164069639
19,8.2482291442,-9.2646435651,-1.0164144209
20,8.2295846305,-9.2460148012,-1.0164301708
21,8.2145286111,-9.2309782532,-1.0164496420
22,8.2028121409,-9.2192822828,-1.0164701419
23,8.1941787076,-9.2106688481,-1.0164901405
24,8.1883822343,-9.2048910870,-1.0165088527
25,8.1851959329,-9.2017218818,-1.0165259489
26,8.1844155777,-9.2009569506,-1.0165413730
27,8.1858594843,-9.2024147098,-1.0165552255
28,8.1893666487,-9.2059343387,-1.0165676900
29,8.1947939630,-9.2113729495,-1.0165789865
30,8.2020130768,-9.2186024205,-1.0165893437
31,8.2109072488,-9.2275062303,-1.0165989815
32,8.2213683903,-9.2379764922,-1.0166081020
33,8.2332944130,-9.2499112970,-1.0166168840
34,8.2465869384,-9.2632124191,-1.0166254808
35,8.2611493938,-9.2777834129,-1.0166340190
36,8.2768855039,-9.2935281028,-1.0166425989
37,8.2936981760,-9.3103494697,-1.0166512938
38,8.3114887768,-9.3281489276,-1.0166601508
39,8.3301567983,-9.3468259892,-1.0166691909
40,8.3495999085,-9.3662783171,-1.0166784086
41,8.3697143895,-9.3864021621,-1.0166877725
42,8.3903959611,-9.4070931859,-1.0166972247
43,8.4115409893,-9.4282476705,-1.0167066813
44,8.4330480765,-9.4497641090,-1.0167160325
45,8.4548200270,-9.4715451705,-1.0167251435
46,8.4767661735,-9.4935000287,-1.0167338552
47,8.4988050501,-9.5155470356,-1.0167419855
48,8.5208673885,-9.5376167187,-1.0167493301
49,8.5428994144,-9.5596550787,-1.0167556643
50,8.5648664219,-9.5816271648,-1.0167607429
51,8.5867566072,-9.6035209080,-1.0167643008
52,8.6085851497,-9.6253512019,-1.0167660522
53,8.6303985378,-9.6471642272,-1.0167656893
54,8.6522791370,-9.6690420193,-1.0167628823
55,8.6743499888,-9.6911072689,-1.0167572801
56,8.6967797970,-9.7135283133,-1.0167485163
57,8.7197879880,-9.7365242105,-1.0167362225
58,8.7436496235,-9.7603696699,-1.0167200464
59,8.7686997811,-9.7853994933,-1.0166997123
60,8.7953368169,-9.8120118592,-1.0166750423
61,8.8240237010,-9.8406697486,-1.0166460475
62,8.8552864134,-9.8718994150,-1.0166130016
63,8.8897082654,-9.9062847850,-1.0165765195
64,8.9279190459,-9.9444566670,-1.0165376211
65,8.9705781384,-9.9870758990,-1.0164977607
66,9.0183512778,-10.0348100822,-1.0164588044
67,9.0718813896,-10.0883043312,-1.0164229416
68,9.1317549155,-10.1481474427,-1.0163925272
69,9.1984660311,-10.2148358956,-1.0163698645
70,9.2723819847,-10.2887389411,-1.0163569564
71,9.3537132355,-10.3700684980,-1.0163552625
72,9.4424919487,-10.4588574537,-1.0163655050
73,9.5385616707,-10.5549492334,-1.0163875628
74,9.6415797187,-10.6580001957,-1.0164204770
75,9.7510322007,-10.7674947706,-1.0164625699
76,9.8662599273,-10.8827715851,-1.0165116578
77,9.9864921077,-11.0030574289,-1.0165653212
78,10.1108838756,-11.1275050635,-1.0166211879
79,10.2385534844,-11.2552306711,-1.0166771867
80,10.3686154135,-11.3853471539,-1.0167317404
81,10.5002064904,-11.5169903731,-1.0167838827
82,10.6325032478,-11.6493365433,-1.0168332955
83,10.7647298787,-11.7816101582,-1.0168802796
84,10.8961571656,-11.9130828391,-1.0169256735
85,11.0260935326,-12.0430642728,-1.0169707403
86,11.1538698778,-12.1708869152,-1.0170170373
87,11.2788201260,-12.2958864069,-1.0170662809
88,11.4002595437,-12.4173797540,-1.0171202104
89,11.5174628849,-12.5346433384,-1.0171804535
90,11.6296444325,-12.6468928211,-1.0172483886
91,11.7359420335,-12.7532670330,-1.0173249996
92,11.8354073145,-12.8528180343,-1.0174107198
93,11.9270043885,-12.9445096527,-1.0175052642
94,12.0096194722,-13.0272269240,-1.0176074518
95,12.0820838244,-13.0997988920,-1.0177150676
96,12.1432121352,-13.1610368472,-1.0178247120
97,12.1918577641,-13.2097895555,-1.0179317914
98,12.2269848533,-13.2450154754,-1.0180306221
99,12.2477552009,-13.2658699353,-1.0181147344
100,12.2536248920,-13.2718023013,-1.0181774093
101,12.2444423543,-13.2626547931,-1.0182124388
102,12.2205363832,-13.2387514169,-1.0182150337
