step,K,U,E
127,8.2310682879,-9.2016402812,-0.9705719934
128,8.2305433151,-9.2011154437,-0.9705721285
129,8.2301161434,-9.2006884043,-0.9705722609
130,8.2297852000,-9.2003575906,-0.9705723906
131,8.2295489499,-9.2001214675,-0.9705725175
132,8.2294058948,-9.1999785366,-0.9705726418
133,8.2293545726,-9.1999273360,-0.9705727634
134,8.2293935566,-9.1999664390,-0.9705728824
135,8.2295214550,-9.2000944538,-0.9705729988
136,8.2297369100,-9.2003100228,-0.9705731127
137,8.2300385968,-9.2006118210,-0.9705732242
138,8.2304252226,-9.2009985558,-0.9705733333
139,8.2308955258,-9.2014689659,-0.9705734400
140,8.2314482753,-9.2020218199,-0.9705735446
141,8.2320822689,-9.2026559158,-0.9705736469
142,8.2327963326,-9.2033700796,-0.9705737471
143,8.2335893194,-9.2041631647,-0.9705738452
144,8.2344601087,-9.2050340501,-0.9705739414
145,8.2354076047,-9.2059816404,-0.9705740357
146,8.2364307354,-9.2070048636,-0.9705741282
147,8.2375284521,-9.2081026709,-0.9705742189
148,8.2386997275,-9.2092740355,-0.9705743079
149,8.2399435556,-9.2105179510,-0.9705743954
150,8.2412589499,-9.2118334312,-0.9705744813
151,8.2426449427,-9.2132195085,-0.9705745658
152,8.2441005841,-9.2146752330,-0.9705746489
153,8.2456249412,-9.2161996719,-0.9705747307
154,8.2472170966,-9.2177919078,-0.9705748113
155,8.2488761480,-9.2194510387,-0.9705748906
156,8.2506012071,-9.2211761760,-0.9705749689
157,8.2523913984,-9.2229664446,-0.9705750462
158,8.2542458589,-9.2248209814,-0.9705751225
159,8.2561637366,-9.2267389345,-0.9705751979
160,8.2581441902,-9.2287194626,-0.9705752725
161,8.2601863879,-9.2307617341,-0.9705753463
162,8.2622895067,-9.2328649261,-0.9705754193
163,8.2644527320,-9.2350282238,-0.9705754917
164,8.2666752563,-9.2372508198,-0.9705755635
165,8.2689562786,-9.2395319134,-0.9705756348
166,8.2712950042,-9.2418707098,-0.9705757055
167,8.2736906435,-9.2442664193,-0.9705757758
168,8.2761424113,-9.2467182571,-0.9705758458
169,8.2786495269,-9.2492254422,-0.9705759153
170,8.2812112125,-9.2517871971,-0.9705759846
171,8.2838266936,-9.2544027472,-0.9705760536
172,8.2864951978,-9.2570713202,-0.9705761224
173,8.2892159545,-9.2597921455,-0.9705761910
174,8.2919881945,-9.2625644540,-0.9705762595
175,8.2948111494,-9.2653874773,-0.9705763279
176,8.2976840513,-9.2682604475,-0.9705763962
177,8.3006061322,-9.2711825967,-0.9705764645
178,8.3035766238,-9.2741531566,-0.9705765328
179,8.3065947570,-9.2771713582,-0.9705766012
180,8.3096597619,-9.2802364314,-0.9705766696
181,8.3127708667,-9.2833476048,-0.9705767381
182,8.3159272985,-9.2865041052,-0.9705768067
183,8.3191282821,-9.2897051575,-0.9705768754
184,8.3223730402,-9.2929499845,-0.9705769443
185,8.3256607933,-9.2962378068,-0.9705770134
186,8.3289907593,-9.2995678420,-0.9705770827
187,8.3323621532,-9.3029393055,-0.9705771523
188,8.3357741874,-9.3063514094,-0.9705772220
189,8.3392260712,-9.3098033632,-0.9705772920
190,8.3427170109,-9.3132943732,-0.9705773623
191,8.3462462097,-9.3168236425,-0.9705774328
192,8.3498128677,-9.3203903714,-0.9705775036
193,8.3534161819,-9.3239937566,-0.9705775747
194,8.3570553460,-9.3276329922,-0.9705776461
195,8.3607295508,-9.3313072687,-0.9705777178
196,8.3644379840,-9.3350157738,-0.9705777898
197,8.3681798303,-9.3387576924,-0.9705778621
198,8.3719542717,-9.3425322063,-0.9705779346
199,8.3757604874,-9.3463384949,-0.9705780075
200,8.3795976541,-9.3501757347,-0.9705780806
201,8.3834649463,-9.3540431003,-0.9705781541
202,8.3873615362,-9.3579397640,-0.9705782278
203,8.3912865943,-9.3618648960,-0.9705783017
204,8.3952392892,-9.3658176651,-0.9705783759
205,8.3992187885,-9.3697972389,-0.9705784504
206,8.4032242586,-9.3738027836,-0.9705785250
207,8.4072548652,-9.3778334651,-0.9705785999
208,8.4113097737,-9.3818884486,-0.9705786750
209,8.4153881496,-9.3859668997,-0.9705787502
210,8.4194891588,-9.3900679843,-0.9705788255
211,8.4236119682,-9.3941908692,-0.9705789010
212,8.4277557459,-9.3983347225,-0.9705789766
213,8.4319196622,-9.4024987144,-0.9705790523
214,8.4361028893,-9.4066820172,-0.9705791280
215,8.4403046026,-9.4108838062,-0.9705792037
216,8.4445239808,-9.4151032602,-0.9705792793
217,8.4487602068,-9.4193395618,-0.9705793550
218,8.4530124680,-9.4235918985,-0.9705794305
219,8.4572799570,-9.4278594629,-0.9705795059
220,8.4615618724,-9.4321414535,-0.9705795811
221,8.4658574194,-9.4364370756,-0.9705796562
222,8.4701658106,-9.4407455416,-0.9705797310
