step,K,U,E
122,2055.9063636221,-4.5029985945,2051.4033650275
123,2055.9065536762,-4.5031884469,2051.4033652293
124,2055.9067307561,-4.5033653318,2051.4033654243
125,2055.9068973258,-4.5035317131,2051.4033656128
126,2055.9070557668,-4.5036899720,2051.4033657948
127,2055.9072083797,-4.5038424092,2051.4033659705
128,2055.9073573863,-4.5039912462,2051.4033661400
129,2055.9075049310,-4.5041386274,2051.4033663036
130,2055.9076530830,-4.5042866162,2051.4033664669
131,2055.9078038377,-4.5044372187,2051.4033666190
132,2055.9079591183,-4.5045923528,2051.4033667655
133,2055.9081207780,-4.5047538714,2051.4033669066
134,2055.9082906013,-4.5049235589,2051.4033670424
135,2055.9084703059,-4.5051031328,2051.4033671731
136,2055.9086615440,-4.5052942452,2051.4033672988
137,2055.9088659045,-4.5054984849,2051.4033674196
138,2055.9090849140,-4.5057173783,2051.4033675357
139,2055.9093200387,-4.5059523916,2051.4033676471
140,2055.9095726858,-4.5062049317,2051.4033677541
141,2055.9098442050,-4.5064763484,2051.4033678566
142,2055.9101358902,-4.5067679353,2051.4033679550
143,2055.9104489806,-4.5070809370,2051.4033680436
144,2055.9107846621,-4.5074165284,2051.4033681337
145,2055.9111440692,-4.5077758493,2051.4033682199
146,2055.9115282855,-4.5081599832,2051.4033683022
147,2055.9119383457,-4.5085699648,2051.4033683809
148,2055.9123752365,-4.5090067807,2051.4033684558
149,2055.9128398980,-4.5094713707,2051.4033685273
150,2055.9133332248,-4.5099646295,2051.4033685953
151,2055.9138560671,-4.5104874072,2051.4033686599
152,2055.9144092319,-4.5110405106,2051.4033687213
153,2055.9149934841,-4.5116247047,2051.4033687794
154,2055.9156095476,-4.5122407132,2051.4033688345
155,2055.9162581062,-4.5128892197,2051.4033688865
156,2055.9169398046,-4.5135708690,2051.4033689356
157,2055.9176552495,-4.5142862677,2051.4033689818
158,2055.9184050101,-4.5150359849,2051.4033690252
159,2055.9191896197,-4.5158205538,2051.4033690658
160,2055.9200095758,-4.5166404720,2051.4033691038
161,2055.9208653416,-4.5174962024,2051.4033691391
162,2055.9217573461,-4.5183881742,2051.4033691719
163,2055.9226859855,-4.5193167833,2051.4033692022
164,2055.9236516235,-4.5202823935,2051.4033692300
165,2055.9246545922,-4.5212853368,2051.4033692555
166,2055.9256951928,-4.5223259142,2051.4033692786
167,2055.9267736960,-4.5234043967,2051.4033692994
168,2055.9278903430,-4.5245210251,2051.4033693179
169,2055.9290453457,-4.5256760114,2051.4033693343
170,2055.9302388876,-4.5268695391,2051.4033693484
171,2055.9314711240,-4.5281017635,2051.4033693605
172,2055.9327421830,-4.5293728125,2051.4033693705
173,2055.9340521654,-4.5306827870,2051.4033693784
174,2055.9354011457,-4.5320317614,2051.4033693843
175,2055.9367891721,-4.5334197839,2051.4033693882
176,2055.9382162673,-4.5348468772,2051.4033693902
177,2055.9396824287,-4.5363130385,2051.4033693902
178,2055.9411876287,-4.5378182404,2051.4033693884
179,2055.9427318154,-4.5393624307,2051.4033693846
180,2055.9443149124,-4.5409455334,2051.4033693791
181,2055.9459368198,-4.5425674536,2051.4033693662
182,2055.9475974139,-4.5442280570,2051.4033693570
183,2055.9492965478,-4.5459272018,2051.4033693460
184,2055.9510340516,-4.5476647183,2051.4033693333
185,2055.9528097326,-4.5494404138,2051.4033693188
186,2055.9546233757,-4.5512540731,2051.4033693026
187,2055.9564747434,-4.5531054588,2051.4033692847
188,2055.9583635762,-4.5549943112,2051.4033692650
189,2055.9602895928,-4.5569203490,2051.4033692437
190,2055.9622524899,-4.5588832691,2051.4033692207
191,2055.9642519430,-4.5608827469,2051.4033691961
192,2055.9662876061,-4.5629184363,2051.4033691698
193,2055.9683591121,-4.5649899702,2051.4033691418
194,2055.9704660726,-4.5670969604,2051.4033691122
195,2055.9726080785,-4.5692389975,2051.4033690810
196,2055.9747846999,-4.5714156517,2051.4033690482
197,2055.9769954859,-4.5736264722,2051.4033690137
198,2055.9792399654,-4.5758709877,2051.4033689777
199,2055.9815176466,-4.5781487066,2051.4033689400
200,2055.9838280174,-4.5804591167,2051.4033689008
201,2055.9861705455,-4.5828016856,2051.4033688599
202,2055.9885446783,-4.5851758609,2051.4033688175
203,2055.9909498432,-4.5875810698,2051.4033687734
204,2055.9933854476,-4.5900167198,2051.4033687278
205,2055.9958508790,-4.5924821984,2051.4033686806
206,2055.9983455051,-4.5949768733,2051.4033686319
207,2056.0008686740,-4.5975000925,2051.4033685815
208,2056.0034197140,-4.6000511844,2051.4033685296
209,2056.0059979341,-4.6026294579,2051.4033684761
210,2056.0086026238,-4.6052342026,2051.4033684211
211,2056.0112330534,-4.6078646888,2051.4033683646
212,2056.0138884741,-4.6105201676,2051.4033683064
213,2056.0165681179,-4.6131998712,2051.4033682468
214,2056.0192711983,-4.6159030127,2051.4033681856
215,2056.0219969097,-4.6186287869,2051.4033681228
216,2056.0247444282,-4.6213763696,2051.4033680586
217,2056.0275129115,-4.6241449187,2051.4033679928
218,2056.0303014991,-4.6269335735,2051.4033679256
219,2056.0331093126,-4.6297414558,2051.4033678568
220,2056.0359354558,-4.6325676692,2051.4033677866
221,2056.0387790152,-4.6354113004,2051.4033677149
222,2056.0416390601,-4.6382714183,2051.4033676417
223,2056.0445146426,-4.6411470755,2051.4033675671
224,2056.0474047988,-4.6440373076,2051.4033674911
225,2056.0503085480,-4.6469411343,2051.4033674137
226,2056.0532248940,-4.6498575591,2051.4033673349
227,2056.0561528251,-4.6527855703,2051.4033672548
228,2056.0590913146,-4.6557241412,2051.4033671734
229,2056.0620393211,-4.6586722305,2051.4033670906
230,2056.0649957893,-4.6616287828,2051.4033670066
231,2056.0679596505,-4.6645927293,2051.4033669213
232,2056.0709298229,-4.6675629881,2051.4033668348
233,2056.0739052123,-4.6705384652,2051.4033667472
234,2056.0768847131,-4.6735180548,2051.4033666584
235,2056.0798672087,-4.6765006401,2051.4033665685
236,2056.0828515720,-4.6794850943,2051.4033664776
237,2056.0858366668,-4.6824702810,2051.4033663858
238,2056.0888213481,-4.6854550551,2051.4033662930
239,2056.0918044634,-4.6884382642,2051.4033661993
240,2056.0947848534,-4.6914187486,2051.4033661048
241,2056.0977613529,-4.6943953434,2051.4033660095
242,2056.1007327922,-4.6973668786,2051.4033659136
243,2056.1036979978,-4.7003321808,2051.4033658170
244,2056.1066557940,-4.7032900741,2051.4033657199
245,2056.1096050039,-4.7062393815,2051.4033656224
246,2056.1125444505,-4.7091789261,2051.4033655245
247,2056.1154729585,-4.7121075323,2051.4033654263
248,2056.1183893555,-4.7150240276,2051.4033653279
249,2056.1212924732,-4.7179272438,2051.4033652294
250,2056.1241811495,-4.7208160186,2051.4033651309
251,2056.1270542299,-4.7236891973,2051.4033650326
252,2056.1299105690,-4.7265456346,2051.4033649344
253,2056.1327490327,-4.7293841960,2051.4033648367
254,2056.1355684994,-4.7322037601,2051.4033647393
255,2056.1383678627,-4.7350032201,2051.4033646426
256,2056.1411460327,-4.7377814861,2051.4033645467
257,2056.1439019385,-4.7405374870,2051.4033644516
258,2056.1466345302,-4.7432701727,2051.4033643575
259,2056.1493427808,-4.7459785163,2051.4033642645
260,2056.1520256891,-4.7486615162,2051.4033641729
261,2056.1546822816,-4.7513181988,2051.4033640828
262,2056.1573116148,-4.7539476206,2051.4033639943
263,2056.1599127782,-4.7565488707,2051.4033639076
264,2056.1624848964,-4.7591210736,2051.4033638228
265,2056.1650271318,-4.7616633916,2051.4033637402
266,2056.1675386875,-4.7641750275,2051.4033636600
267,2056.1700188095,-4.7666552273,2051.4033635822
268,2056.1724667903,-4.7691032831,2051.4033635072
