step,K,U,E
47,0.0019017345,-0.0767639364,-0.0748622019
48,0.0019845316,-0.0768467325,-0.0748622010
49,0.0020692716,-0.0769314716,-0.0748622000
50,0.0021559701,-0.0770181690,-0.0748621990
51,0.0022446428,-0.0771068408,-0.0748621979
52,0.0023353062,-0.0771975031,-0.0748621969
53,0.0024279769,-0.0772901727,-0.0748621958
54,0.0025226723,-0.0773848670,-0.0748621947
55,0.0026194099,-0.0774816035,-0.0748621935
56,0.0027182079,-0.0775804003,-0.0748621923
57,0.0028190850,-0.0776812761,-0.0748621911
58,0.0029220601,-0.0777842500,-0.0748621899
59,0.0030271528,-0.0778893415,-0.0748621886
60,0.0031343833,-0.0779965707,-0.0748621873
61,0.0032437722,-0.0781059582,-0.0748621860
62,0.0033553404,-0.0782175250,-0.0748621846
63,0.0034691098,-0.0783312930,-0.0748621832
64,0.0035851023,-0.0784472841,-0.0748621818
65,0.0037033409,-0.0785655212,-0.0748621803
66,0.0038238488,-0.0786860275,-0.0748621788
67,0.0039466498,-0.0788088270,-0.0748621772
68,0.0040717685,-0.0789339441,-0.0748621756
69,0.0041992299,-0.0790614039,-0.0748621740
70,0.0043290598,-0.0791912321,-0.0748621723
71,0.0044612844,-0.0793234549,-0.0748621706
72,0.0045959306,-0.0794580994,-0.0748621688
73,0.0047330263,-0.0795951933,-0.0748621670
74,0.0048725995,-0.0797347647,-0.0748621651
75,0.0050146794,-0.0798768427,-0.0748621632
76,0.0051592956,-0.0800214569,-0.0748621613
77,0.0053064786,-0.0801686379,-0.0748621593
78,0.0054562595,-0.0803184167,-0.0748621573
79,0.0056086702,-0.0804708253,-0.0748621552
80,0.0057637434,-0.0806258964,-0.0748621530
81,0.0059215126,-0.0807836634,-0.0748621508
82,0.0060820122,-0.0809441607,-0.0748621486
83,0.0062452772,-0.0811074234,-0.0748621463
84,0.0064113436,-0.0812734875,-0.0748621439
85,0.0065802484,-0.0814423898,-0.0748621415
86,0.0067520292,-0.0816141682,-0.0748621390
87,0.0069267248,-0.0817888612,-0.0748621364
