step,K,U,E
127,0.0036891121,-0.0411202002,-0.0374310881
128,0.0037544464,-0.0411855340,-0.0374310876
129,0.0038205529,-0.0412516400,-0.0374310871
130,0.0038874392,-0.0413185258,-0.0374310866
131,0.0039551132,-0.0413861993,-0.0374310861
132,0.0040235830,-0.0414546685,-0.0374310855
133,0.0040928566,-0.0415239416,-0.0374310850
134,0.0041629424,-0.0415940269,-0.0374310845
135,0.0042338488,-0.0416649328,-0.0374310839
136,0.0043055844,-0.0417366678,-0.0374310833
137,0.0043781579,-0.0418092406,-0.0374310828
138,0.0044515781,-0.0418826603,-0.0374310822
139,0.0045258542,-0.0419569357,-0.0374310816
140,0.0046009952,-0.0420320762,-0.0374310810
141,0.0046770106,-0.0421080910,-0.0374310804
142,0.0047539099,-0.0421849897,-0.0374310797
143,0.0048317028,-0.0422627819,-0.0374310791
144,0.0049103991,-0.0423414776,-0.0374310785
145,0.0049900089,-0.0424210867,-0.0374310778
146,0.0050705424,-0.0425016195,-0.0374310771
147,0.0051520100,-0.0425830864,-0.0374310764
148,0.0052344223,-0.0426654980,-0.0374310757
149,0.0053177901,-0.0427488651,-0.0374310750
150,0.0054021243,-0.0428331986,-0.0374310743
151,0.0054874361,-0.0429185097,-0.0374310735
152,0.0055737370,-0.0430048098,-0.0374310728
153,0.0056610384,-0.0430921104,-0.0374310720
154,0.0057493521,-0.0431804234,-0.0374310712
155,0.0058386903,-0.0432697607,-0.0374310704
156,0.0059290650,-0.0433601346,-0.0374310696
157,0.0060204888,-0.0434515576,-0.0374310688
158,0.0061129743,-0.0435440422,-0.0374310680
159,0.0062065344,-0.0436376015,-0.0374310671
160,0.0063011824,-0.0437322486,-0.0374310662
161,0.0063969316,-0.0438279969,-0.0374310653
162,0.0064937956,-0.0439248600,-0.0374310644
163,0.0065917883,-0.0440228518,-0.0374310635
164,0.0066909240,-0.0441219866,-0.0374310626
165,0.0067912171,-0.0442222787,-0.0374310616
166,0.0068926822,-0.0443237428,-0.0374310606
167,0.0069953343,-0.0444263939,-0.0374310596
168,0.0070991887,-0.0445302473,-0.0374310586
169,0.0072042611,-0.0446353186,-0.0374310575
170,0.0073105671,-0.0447416236,-0.0374310565
171,0.0074181230,-0.0448491784,-0.0374310554
172,0.0075269453,-0.0449579996,-0.0374310543
173,0.0076370507,-0.0450681039,-0.0374310532
174,0.0077484564,-0.0451795084,-0.0374310520
175,0.0078611798,-0.0452922307,-0.0374310509
176,0.0079752387,-0.0454062884,-0.0374310497
177,0.0080906512,-0.0455216997,-0.0374310485
178,0.0082074359,-0.0456384831,-0.0374310472
179,0.0083256116,-0.0457566576,-0.0374310459
180,0.0084451976,-0.0458762422,-0.0374310446
181,0.0085662133,-0.0459972567,-0.0374310433
182,0.0086886790,-0.0461197210,-0.0374310420
183,0.0088126150,-0.0462436556,-0.0374310406
184,0.0089380420,-0.0463690812,-0.0374310392
185,0.0090649814,-0.0464960192,-0.0374310378
186,0.0091934548,-0.0466244911,-0.0374310363
187,0.0093234844,-0.0467545192,-0.0374310348
188,0.0094550927,-0.0468861260,-0.0374310333
189,0.0095883027,-0.0470193345,-0.0374310317
190,0.0097231380,-0.0471541682,-0.0374310301
191,0.0098596226,-0.0472906511,-0.0374310285
192,0.0099977809,-0.0474288077,-0.0374310269
193,0.0101376379,-0.0475686631,-0.0374310252
194,0.0102792192,-0.0477102427,-0.0374310234
195,0.0104225509,-0.0478535726,-0.0374310217
196,0.0105676596,-0.0479986795,-0.0374310199
197,0.0107145724,-0.0481455904,-0.0374310180
198,0.0108633171,-0.0482943333,-0.0374310161
199,0.0110139221,-0.0484449364,-0.0374310142
200,0.0111664164,-0.0485974287,-0.0374310123
201,0.0113208295,-0.0487518398,-0.0374310102
202,0.0114771917,-0.0489081999,-0.0374310082
203,0.0116355339,-0.0490665400,-0.0374310061
204,0.0117958877,-0.0492268916,-0.0374310039
205,0.0119582853,-0.0493892870,-0.0374310017
206,0.0121227597,-0.0495537592,-0.0374309995
207,0.0122893447,-0.0497203418,-0.0374309972
208,0.0124580746,-0.0498890695,-0.0374309948
209,0.0126289848,-0.0500599773,-0.0374309924
210,0.0128021114,-0.0502331013,-0.0374309900
211,0.0129774910,-0.0504084785,-0.0374309874
212,0.0131551615,-0.0505861464,-0.0374309849
213,0.0133351614,-0.0507661436,-0.0374309822
214,0.0135175301,-0.0509485096,-0.0374309795
215,0.0137023080,-0.0511332847,-0.0374309768
216,0.0138895363,-0.0513205103,-0.0374309739
217,0.0140792574,-0.0515102284,-0.0374309710
218,0.0142715144,-0.0517024824,-0.0374309681
219,0.0144663516,-0.0518973166,-0.0374309650
220,0.0146638143,-0.0520947762,-0.0374309619
221,0.0148639488,-0.0522949076,-0.0374309587
222,0.0150668028,-0.0524977583,-0.0374309555
223,0.0152724247,-0.0527033769,-0.0374309521
224,0.0154808645,-0.0529118132,-0.0374309487
225,0.0156921731,-0.0531231183,-0.0374309452
226,0.0159064027,-0.0533373443,-0.0374309416
227,0.0161236069,-0.0535545448,-0.0374309379
228,0.0163438406,-0.0537747748,-0.0374309341
229,0.0165671600,-0.0539980903,-0.0374309302
230,0.0167936227,-0.0542245490,-0.0374309263
231,0.0170232878,-0.0544542100,-0.0374309222
232,0.0172562158,-0.0546871338,-0.0374309180
233,0.0174924688,-0.0549233825,-0.0374309137
234,0.0177321105,-0.0551630198,-0.0374309093
235,0.0179752062,-0.0554061110,-0.0374309048
236,0.0182218229,-0.0556527230,-0.0374309001
237,0.0184720292,-0.0559029246,-0.0374308954
238,0.0187258958,-0.0561567862,-0.0374308905
239,0.0189834949,-0.0564143803,-0.0374308855
240,0.0192449008,-0.0566757811,-0.0374308803
241,0.0195101897,-0.0569410647,-0.0374308750
242,0.0197794399,-0.0572103095,-0.0374308696
243,0.0200527319,-0.0574835958,-0.0374308640
244,0.0203301480,-0.0577610062,-0.0374308582
245,0.0206117730,-0.0580426254,-0.0374308523
246,0.0208976941,-0.0583285404,-0.0374308463
247,0.0211880007,-0.0586188408,-0.0374308400
248,0.0214827848,-0.0589136184,-0.0374308336
249,0.0217821408,-0.0592129678,-0.0374308270
250,0.0220861659,-0.0595169861,-0.0374308203
