step,K,U,E
111,0.0001004320,-0.0749626546,-0.0748622226
112,0.0001022366,-0.0749644592,-0.0748622226
113,0.0001040574,-0.0749662800,-0.0748622226
114,0.0001058943,-0.0749681169,-0.0748622226
115,0.0001077474,-0.0749699699,-0.0748622226
116,0.0001096166,-0.0749718392,-0.0748622226
117,0.0001115020,-0.0749737246,-0.0748622226
118,0.0001134036,-0.0749756262,-0.0748622226
119,0.0001153213,-0.0749775439,-0.0748622226
120,0.0001172553,-0.0749794778,-0.0748622226
121,0.0001192054,-0.0749814279,-0.0748622226
122,0.0001211716,-0.0749833942,-0.0748622226
123,0.0001231541,-0.0749853767,-0.0748622226
124,0.0001251528,-0.0749873753,-0.0748622226
125,0.0001271676,-0.0749893902,-0.0748622226
126,0.0001291987,-0.0749914212,-0.0748622226
127,0.0001312459,-0.0749934685,-0.0748622226
128,0.0001333094,-0.0749955319,-0.0748622226
129,0.0001353890,-0.0749976116,-0.0748622226
130,0.0001374849,-0.0749997074,-0.0748622226
131,0.0001395970,-0.0750018195,-0.0748622226
132,0.0001417252,-0.0750039478,-0.0748622226
133,0.0001438698,-0.0750060923,-0.0748622226
134,0.0001460305,-0.0750082531,-0.0748622226
135,0.0001482075,-0.0750104300,-0.0748622226
136,0.0001504007,-0.0750126232,-0.0748622226
137,0.0001526101,-0.0750148326,-0.0748622226
138,0.0001548357,-0.0750170583,-0.0748622226
139,0.0001570776,-0.0750193002,-0.0748622226
140,0.0001593358,-0.0750215584,-0.0748622226
141,0.0001616102,-0.0750238328,-0.0748622226
142,0.0001639009,-0.0750261234,-0.0748622226
143,0.0001662078,-0.0750284303,-0.0748622226
144,0.0001685309,-0.0750307535,-0.0748622226
145,0.0001708704,-0.0750330929,-0.0748622226
146,0.0001732261,-0.0750354486,-0.0748622226
147,0.0001755981,-0.0750378206,-0.0748622226
148,0.0001779863,-0.0750402089,-0.0748622226
149,0.0001803908,-0.0750426134,-0.0748622226
150,0.0001828117,-0.0750450342,-0.0748622226
151,0.0001852488,-0.0750474713,-0.0748622226
152,0.0001877022,-0.0750499247,-0.0748622226
153,0.0001901718,-0.0750523944,-0.0748622226
154,0.0001926578,-0.0750548804,-0.0748622226
155,0.0001951601,-0.0750573827,-0.0748622226
156,0.0001976787,-0.0750599013,-0.0748622226
157,0.0002002137,-0.0750624362,-0.0748622226
158,0.0002027649,-0.0750649875,-0.0748622226
159,0.0002053325,-0.0750675550,-0.0748622226
160,0.0002079163,-0.0750701389,-0.0748622226
161,0.0002105166,-0.0750727391,-0.0748622226
162,0.0002131331,-0.0750753557,-0.0748622226
163,0.0002157660,-0.0750779886,-0.0748622226
164,0.0002184152,-0.0750806378,-0.0748622226
165,0.0002210808,-0.0750833034,-0.0748622226
166,0.0002237627,-0.0750859853,-0.0748622226
167,0.0002264610,-0.0750886836,-0.0748622226
168,0.0002291757,-0.0750913982,-0.0748622226
169,0.0002319067,-0.0750941292,-0.0748622226
170,0.0002346541,-0.0750968766,-0.0748622226
171,0.0002374178,-0.0750996404,-0.0748622226
172,0.0002401979,-0.0751024205,-0.0748622226
173,0.0002429945,-0.0751052170,-0.0748622226
174,0.0002458074,-0.0751080299,-0.0748622226
175,0.0002486367,-0.0751108592,-0.0748622226
176,0.0002514824,-0.0751137049,-0.0748622226
177,0.0002543445,-0.0751165670,-0.0748622226
178,0.0002572230,-0.0751194455,-0.0748622226
179,0.0002601179,-0.0751223405,-0.0748622226
180,0.0002630292,-0.0751252518,-0.0748622226
181,0.0002659570,-0.0751281796,-0.0748622226
182,0.0002689012,-0.0751311237,-0.0748622226
183,0.0002718618,-0.0751340844,-0.0748622226
184,0.0002748389,-0.0751370614,-0.0748622226
185,0.0002778324,-0.0751400549,-0.0748622226
186,0.0002808423,-0.0751430649,-0.0748622226
187,0.0002838687,-0.0751460913,-0.0748622226
188,0.0002869116,-0.0751491341,-0.0748622226
189,0.0002899709,-0.0751521934,-0.0748622226
190,0.0002930467,-0.0751552692,-0.0748622226
191,0.0002961389,-0.0751583615,-0.0748622226
